ID	T	d	DEPARTAMENTO	MACROSECTOR	CATEGORIA	ACTIVO	PASIVO	EMPLEOS
3734	1	1	BOGOTA	CONSTRUCCION	C	11138187	3334537	0
3735	1	0	BOGOTA	SERVICIOS	B	19299039	11693432	0
3736	1	0	VALLE	MANUFACTURA	C	2556618	3320512	17
3737	0	0	ANTIOQUIA	MANUFACTURA	C	1834416	611654	7
3738	1	1	RISARALDA	CONSTRUCCION	C	3158638	695697	1
3739	4	0	ANTIOQUIA	MANUFACTURA	C	2021435	1494291	52
3740	6	0	BOLIVAR	COMERCIO	C	3354872	3086259	0
3741	2	0	SANTANDER	CONSTRUCCION	C	7938346	6257016	1
3742	0	0	ATLANTICO	COMERCIO	C	5781343	4927373	2
3743	1	1	VALLE	CONSTRUCCION	C	470297	1707942	1
3744	1	1	BOGOTA	COMERCIO	C	100343	835020	1
3745	0	0	NARIÑO	CONSTRUCCION	B	22927137	20109879	5
3746	6	0	ANTIOQUIA	SERVICIOS	C	1477667	1946129	0
3747	0	0	ATLANTICO	SERVICIOS	C	469204	1189468	0
3748	1	0	BOLIVAR	CONSTRUCCION	C	12317183	12300929	0
3749	0	0	ANTIOQUIA	MANUFACTURA	C	4789502	2906407	8
3750	2	1	SANTANDER	COMERCIO	C	88855	214977	1
3751	1	0	BOGOTA	SERVICIOS	C	4975174	8137346	97
3752	4	0	BOGOTA	AGROPECUARIO	B	22067229	21909123	40
3753	1	0	VALLE	MANUFACTURA	C	5411489	4592061	0
3754	4	0	RISARALDA	COMERCIO	C	7742044	6352468	6
3755	1	1	BOGOTA	SERVICIOS	C	516198	691855	6
3756	0	0	ANTIOQUIA	COMERCIO	C	2223857	1064971	1
3757	6	0	CESAR	TRANSPORTE	B	15367868	10007148	54
3758	2	0	ANTIOQUIA	COMERCIO	C	1628879	798916	1
3759	1	0	BOGOTA	CONSTRUCCION	C	2971754	675940	14
3760	0	1	ANTIOQUIA	MANUFACTURA	C	2237184	4497410	10
3761	0	1	BOGOTA	SERVICIOS	C	46397	834627	0
3762	0	1	SANTANDER	COMERCIO	C	43624	77249	0
3763	4	0	TOLIMA	AGROPECUARIO	C	1110933	614311	0
3764	1	1	BOGOTA	MANUFACTURA	C	49788	1656654	0
3765	1	0	BOGOTA	SERVICIOS	C	163690	94451	1
3766	1	0	BOGOTA	MANUFACTURA	C	6138	5978	0
3767	4	0	ANTIOQUIA	SERVICIOS	C	2168530	1712144	12
3768	3	0	BOLIVAR	TRANSPORTE	C	18787412	15971251	29
3769	1	0	CESAR	COMERCIO	C	1875138	397142	0
3770	4	0	MAGDALENA	AGROPECUARIO	C	1640782	708511	0
3771	1	1	ATLANTICO	AGROPECUARIO	C	1460877	1235357	0
3772	2	0	CUNDINAMARCA	MANUFACTURA	C	2290141	3716568	1
3773	1	0	BOGOTA	CONSTRUCCION	C	3595321	2204419	0
3774	1	0	CALDAS	COMERCIO	C	8909162	8448923	23
3775	1	0	BOGOTA	SERVICIOS	B	36721119	19332864	114
3776	4	0	SANTANDER	MANUFACTURA	C	313112	255412	1
3777	1	0	BOGOTA	CONSTRUCCION	C	10302644	9309681	0
3778	0	0	SANTANDER	COMERCIO	C	575533	454868	6
3779	4	0	SANTANDER	CONSTRUCCION	C	748759	568200	100
3780	3	0	ANTIOQUIA	TRANSPORTE	C	1189816	1029878	4
3781	2	1	BOGOTA	SERVICIOS	C	288910	2259326	1
3782	1	1	CALDAS	AGROPECUARIO	C	665400	883389	1
